fare_amount,passenger_count,year,month,date,day,hour,minute,distance
4.5,1,2009,6,15,0,17,26,1.030763935048818
16.9,1,2010,1,5,1,16,52,8.450133595805992
5.7,2,2011,8,18,3,0,35,1.3895252257697308
7.7,1,2012,4,21,5,4,30,2.799270239983498
5.3,1,2010,3,9,1,7,51,1.9991567879958214
12.1,1,2011,1,6,3,9,50,3.7872390847830966
7.5,1,2012,11,20,1,20,35,1.555806659350719
16.5,1,2012,1,4,2,17,22,4.155444291845812
6.011614737491461,1,2012,12,3,0,13,10,1.2532315127249896
8.9,2,2009,9,2,2,1,11,2.8496267961080646
5.3,1,2012,4,8,6,7,30,1.374576999593841
4.1,2,2009,11,6,4,1,4,0.7177674874531168
7.0,1,2013,7,2,1,19,54,2.0193838271979137
7.7,2,2011,4,5,1,17,11,1.6714445980751202
12.5,1,2014,2,19,2,7,22,2.609774493745362
5.3,1,2009,7,22,2,16,8,1.5119042477196891
5.3,1,2010,7,7,2,14,52,0.9219517182545394
4.0,1,2014,12,6,5,20,36,0.39917857039885574
10.5,1,2010,9,7,1,13,18,1.6868613301693776
11.5,1,2013,2,12,1,12,15,2.2924697999176953
4.5,1,2009,8,6,3,18,17,0.9242957326389409
4.9,1,2010,12,6,0,12,29,1.4039581786018265
6.1,1,2009,12,10,3,15,37,1.0177730882293243
7.3,3,2011,6,21,1,16,15,2.531946697192564
4.5,3,2011,6,28,1,19,47,0.3287708526849877
9.3,1,2012,5,4,4,6,11,4.073463090487497
4.5,2,2013,8,11,6,0,52,0.8081531607879715
5.5,1,2014,2,19,2,16,3,0.8719132690002338
22.54,1,2015,6,21,6,21,46,6.7035516761118155
31.9,3,2009,1,9,4,16,10,9.40329565838865
5.7,2,2011,9,7,2,14,5,1.381588506597531
18.1,1,2011,9,7,2,23,5,7.150502806159845
58.0,1,2015,1,11,6,3,15,12.782055750141017
4.5,1,2015,3,12,3,8,8,0.806699283426312
5.3,1,2012,1,19,3,10,15,0.9518008399110728
9.0,6,2013,11,24,6,11,42,2.3438024765581496
9.8,1,2009,3,2,0,20,42,3.585990714379401
8.1,1,2011,3,29,1,15,39,1.6435680593541326
10.9,2,2011,10,15,5,10,55,5.01393582737547
17.5,1,2013,11,22,4,8,38,5.7482588406091795
12.1,1,2009,6,10,2,21,28,5.456870473289842
5.3,1,2011,3,4,4,18,12,0.9470360672677621
6.9,1,2011,8,31,2,21,14,2.548615186304444
4.5,1,2011,6,1,2,20,30,0.9927377363020589
3.3,1,2011,12,14,2,7,53,0.46185347052117215
3.3,5,2012,7,18,2,0,16,0.5503272397647533
9.0,1,2013,1,29,1,12,26,1.6478832232050487
9.7,1,2011,12,6,1,9,9,2.4993156172302147
5.5,3,2012,10,6,5,20,31,1.0137120089985319
8.0,1,2013,1,23,2,7,1,2.2850851781332935
7.5,1,2013,9,7,5,3,17,0.20706795316140328
25.5,4,2013,11,10,6,1,12,11.603773964578464
15.3,1,2012,1,4,2,18,7,5.044022662879789
34.67,1,2010,5,31,0,18,6,9.63435442314002
9.7,4,2011,3,19,5,21,55,1.6908636071084127
13.7,2,2012,7,19,3,23,53,6.348900587936951
6.5,1,2009,3,23,0,12,13,1.2705845555469024
5.0,6,2014,7,16,2,10,57,0.4308707701272411
4.5,3,2011,4,22,4,23,21,1.2319144000403497
4.9,1,2012,1,2,0,14,54,0.9750624506614527
7.0,6,2014,5,1,3,9,12,1.447957969445467
7.3,1,2011,11,7,0,10,47,2.191292345840385
7.5,1,2012,10,7,6,17,59,1.6200915601081411
8.5,4,2014,1,17,4,9,3,1.1134191737199766
16.5,6,2014,4,29,1,18,28,3.733208436637001
11.5,6,2015,4,12,6,10,19,3.374713013900133
4.822985928891048,1,2015,5,12,1,23,51,0.834807166426293
6.9,2,2009,8,2,6,2,34,0.9220554508793151
3.7,1,2010,1,31,6,10,53,0.8431704544879737
6.9,2,2010,5,14,4,8,9,1.0550495226383407
10.1,2,2012,5,21,0,15,20,1.199579684063589
16.5,1,2014,12,8,0,16,0,5.403872524010356
15.07,2,2010,8,16,0,1,33,3.421351597768989
7.7,1,2010,12,4,5,14,26,1.4916690263234078
24.9,1,2011,8,12,4,4,20,12.50317416439791
7.0,2,2013,2,6,2,22,16,2.347840176728829
8.5,1,2014,6,11,2,22,24,1.9338062764603599
